month,day,hour,temp,kW
10,4,17,72,117.115
10,4,18,70,118.065
10,4,19,68,116.09
10,4,20,66,86.71
10,4,21,64.9,56.8425
10,4,22,64,55.43
10,4,23,63,53.6325
10,4,24,63,52.6375
10,5,1,62.1,52.5875
10,5,2,61,52.6075
10,5,3,60.1,52.6
10,5,4,60.1,52.2875
10,5,5,59,51.9825
10,5,6,59,51.6075
10,5,7,59,52.3025
10,5,8,60.1,53.0625
10,5,9,62.1,73.315
10,5,10,64,79.46
10,5,11,64,78.7625
10,5,12,69.1,90.965
10,5,13,69.1,121.9325
10,5,14,68,116.9925
10,5,15,72,110.02
10,5,16,70,103.3825
10,5,17,69.1,115.78
10,5,18,68,107.5125
10,5,19,66,75.3425
10,5,20,66,55.2775
10,5,21,66,54.745
10,5,22,66,54.0175
10,5,23,64,52.8425
10,5,24,63,53.9175
10,6,1,61,53.5275
10,6,2,61,53.825
10,6,3,61,53.5675
10,6,4,60.55,52.8225
10,6,5,61,52.2425
10,6,6,61,52.405
10,6,7,61,52.9225
10,6,8,61,53.8975
10,6,9,62.1,76.805
10,6,10,64,79.1675
10,6,11,64,79.8275
10,6,12,64.9,108.1875
10,6,13,66.45,118.175
10,6,14,69.1,118.475
10,6,15,69.1,111.4825
10,6,16,69.1,113.005
10,6,17,69.1,114.84
10,6,18,70,107.3325
10,6,19,68,87.6425
10,6,20,66.9,56.815
10,6,21,66,55.3625
10,6,22,66,55.4075
10,6,23,64.9,54.1125
10,6,24,66,52.545
10,7,1,64.9,52.0275
10,7,2,64.9,51.6125
